fishnetid,CO2,CO2psqkm
10,423695.18318112334,414747.72981684434
102,583687.8106071593,570805.7806194625
105,382061.5085384982,373629.38485748804
108,752734.830841714,736121.9215308237
112,704495.3138473982,688879.8984396028
115,2041809.366812219,1996551.8600283493
117,1877450.5607890317,1835836.1315133835
119,2118969.6876796414,2072001.8920696632
125,2581090.270202774,2523879.3903272166
129,375844.1636335206,367513.4300881659
132,1619666.5164833427,1583611.5534557132
135,1540326.8359036024,1506038.0322802786
137,326473.51830323844,319205.9786510137
139,3438126.300079106,3361591.0902861534
143,2756591.4552960107,2695227.7103574704
147,2089085.5382869677,2042580.9639947033
15,1521517.9253645225,1489242.2129449265
151,907186.3689744358,886991.7359066606
154,543085.6266116713,530944.3568951497
158,914670.8971997903,894222.4347099653
160,3611127.8314709305,3530397.142175637
162,2091962.0150950833,2045193.9295162894
164,842647.8131437384,823809.50501313
169,2868167.8745670104,2804046.8629787574
173,1454659.1816000324,1422138.6938463596
175,1176978.5924812653,1150665.9562381688
179,1597882.9944877,1562160.5826600152
181,1724385.617396473,1685835.1018796077
186,569672.1761696769,556882.2055006518
188,1781171.7752312447,1741181.872766853
19,694290.2262263759,679496.2732948863
190,2206714.5712184976,2157170.612743996
198,2864942.553310433,2800620.4172502575
200,1966811.250169695,1922653.4709179197
208,1844222.0381536416,1802640.653455721
210,1223106.9836419295,1195529.7825455633
214,2310524.5245092395,2258429.4908744693
216,856787.8355433041,837469.974756226
218,4006523.3276431193,3916188.8753150734
221,2265675.4391207295,2214591.6107716076
228,3571901.052303252,3491025.1982658734
230,3704521.5749022313,3620642.894674816
232,3596304.1154542738,3514875.7213160396
234,4215882.551767188,4120425.511691682
237,5792812.788294851,5661650.509532987
24,1294170.9738846985,1266471.5397698756
243,517216.58316964435,505505.63925645896
250,1743255.834428618,1703618.2765474871
252,4079853.823857785,3987087.496105369
26,237161.01322389362,232085.0024085057
261,574215.8590651688,561159.5342845785
263,719795.4290793897,703428.9655805747
265,1544748.7206268772,1509477.3326263078
270,3997227.0217957143,3905957.9737412967
272,1276686.8298473777,1247536.1233730088
274,1098817.2323405764,1073727.838560164
276,2439084.0230428735,2383392.195760105
278,369547.60802264605,361109.6938858949
280,376535.3174544442,367937.852312848
282,2865206.3351974906,2799784.818414218
289,798678.107203168,780441.8173580167
29,428515.0704597848,419343.46547023655
292,832217.16500434,813215.0748027258
294,1718485.144887369,1679082.7938758729
297,2023122.0148068974,1976734.7859121752
299,1937111.342684981,1892696.2127076287
302,5286377.807093002,5165168.895536074
307,1084910.190291137,1060034.7863565627
309,243193.51988700626,237617.44815720085
31,81604.15364502816,79857.56148445068
311,2384646.589477892,2329970.130831532
318,1799015.019553447,1757594.4990894888
321,2878361.344069278,2812089.95463607
325,718455.9019568581,701914.1738075158
329,1683535.2230384727,1644773.5093223022
333,5172248.497607674,5053162.652069257
335,3685229.5127199255,3600380.791175138
339,1935317.3178749518,1890758.5733955665
342,2539121.1910541467,2480660.4666502513
346,3110037.0478971573,3038431.55723228
35,1554042.635934008,1520485.1425177383
350,673054.6336765864,657493.963014674
353,1286141.9949947244,1256407.0656038595
355,429267.20967926364,419342.7765923252
358,2174420.4025760503,2124148.941581059
361,1681591.2413262837,1642713.7324511153
367,1846049.427810787,1803193.448229949
369,1125219.2017708723,1099097.2732847834
371,1852914.692565632,1809899.3360787816
373,1143084.7733046345,1116548.0961355923
375,1524323.6563699273,1488936.5304848703
379,4663053.727570271,4554801.0815021265
384,704853.7834751938,688490.6249936186
387,874535.4904802914,854233.1764912301
389,2503110.891990631,2445001.25112093
39,999881.0343069069,978289.9270554376
393,1363497.1743518712,1331713.4058726688
397,587691.9600579892,573992.580589564
4,1627716.7655788083,1593498.0738377573
402,1829284.0856497476,1786642.6024441675
404,1413596.8919529887,1380645.275197266
407,990874.0456810944,967776.2997873789
41,2040936.6734889243,1996865.347902374
410,323990.51566005964,316438.14244455006
412,943978.8761839558,921974.279024339
415,4017303.3240831853,3923658.0704166
418,1238862.4195579784,1209983.9465684528
424,510788.44766514725,498832.9337246152
427,2791509.07219304,2726171.0133933933
429,3451846.4511389853,3371052.5362495426
431,1762993.3836214747,1721728.7620911733
435,784559.5178015139,766196.1184428773
437,2412985.016494204,2356506.6913983524
441,2205524.369071787,2153901.8676993465
447,1297439.0624246786,1266947.2500288184
449,324679.2093340754,317048.74881645426
451,4165831.5657390314,4067928.1202100506
453,1921391.1956269692,1876235.5489589656
455,569332.4644885692,555952.2763927865
461,1013899.0749208226,990070.8880897297
464,546158.0504944731,533322.4967513601
466,232813.1823725471,227341.71470537182
468,374714.96839921526,365908.59062854893
470,268307.87076820765,261976.5856388248
472,750826.2842280946,733108.9683906108
475,1951855.3648270776,1905797.256988428
477,418644.3364631331,408765.5481355286
479,1177929.3381276072,1150133.6328409966
482,3991265.129219548,3897082.8844434237
484,3795242.623303627,3705685.939354982
486,2791545.682160733,2725673.3258453794
49,1040439.4515726431,1017873.4393162932
494,363058.15063111455,354491.0345656525
496,455101.72934912564,444362.65261934244
498,87675.65796347207,85606.7675209977
502,532841.8403746226,520217.40023750527
508,847314.5744300457,827239.4389739438
511,3805211.666654204,3715056.0834121634
514,3192453.7987999897,3116816.0788996015
516,625813.7151746165,610986.5240916972
518,1061663.0535066528,1036509.4325834896
519,2343654.062040428,2288126.6650410867
521,461863.026701321,450920.26340752665
53,808023.3203868759,790421.1890702671
533,2587558.2891644775,2526004.8235508013
535,2584752.8143904046,2523266.08609266
539,684826.5559936942,668535.735399542
541,3363263.0138652986,3283256.8956879363
545,431270.83056983695,421011.6552110342
547,1169693.1345468718,1141868.1899118535
556,1241421.1565675589,1211771.249510013
558,320173.7834387376,312526.80330552545
560,917565.8587691972,895650.860553035
562,1441845.5618431713,1407408.7499088657
565,548580.9587699124,535478.7376944798
567,985369.1772336551,961834.7752559017
571,668656.638801566,652622.6159262508
573,912823.5994095645,890934.585490114
574,1223484.9392748552,1194146.4352272518
576,457925.64263942407,446944.83454869204
578,2444042.5617009006,2385435.749074231
580,758033.5072260681,739856.2756099992
582,969806.7859088201,946551.3461396615
584,2059658.4387470423,2010268.9485276737
588,1039298.9933104754,1014277.7803701705
591,190746.36400746234,186154.12883543735
593,438417.9300288802,427862.9805343575
598,563434.2235914315,549869.4960423064
6,468072.5002888754,458232.4415399858
600,2946999.6985296514,2876050.426505754
602,3460883.7119548395,3377562.6379657052
604,437729.81812142034,427191.4349804438
606,433729.3598472987,423287.28808445286
610,1057567.828561588,1032005.640866444
612,4354627.831340253,4249373.292613771
614,982160.0805994675,958420.5533092177
616,836736.9855144665,816512.4407645724
617,550301.0857009764,536999.9060871237
619,103066.88362144402,100575.68168320309
62,703954.6326787637,688552.481414955
622,133820.8099574108,130573.46181466247
624,2899831.9350583004,2829463.4785260856
629,2688678.8437945396,2623177.070396439
631,1232332.8845262267,1202310.7085638377
633,398067.5111964892,388331.67259211995
635,3445.6693634141257,3361.3960181582233
637,2306797.3510033507,2250378.2610996356
639,548137.2638292866,534731.0556269591
641,275975.4320870898,269199.27945664217
643,79879.025884242,77910.07304708671
645,179287.79620980547,174868.49826401778
647,2716587.4224730195,2649625.7582119587
649,319836.8693369029,311953.1513730798
651,675199.6526498019,658556.5319182917
66,1136029.5810091805,1111173.8607184538
68,162102.71587753537,158540.5476823751
70,764039.6660943101,747250.078186342
72,552458.5724890528,540318.428227
74,353700.13297321723,345927.6576175213
8,1393477.3734762815,1364050.3837244834
82,516450.6650574143,505101.78590113274
84,1136965.833133352,1111981.2823948667
86,137069.0303188326,134043.90742460085
89,1593666.6932928264,1558494.3601374768
91,1168611.073716491,1142819.7472196934
93,1182276.984098631,1156184.0500235322
97,3628827.0406566104,3548738.5791393537
