from,to,volume,EstimatedTT,TSTT:,327150.7593752317,length,CO2,lengthm
1849702071,6344820621,0.0,3.00252,,,50.042,0.0,0.031094647582
1849702071,1849702080,0.0,4.6257,,,77.095,0.0,0.047904597245
6344820621,135233327,0.0,3.24774,,,54.129,0.0,0.033634190859
6344820621,6344820622,0.0,1.63764,,,27.294,0.0,0.016959700074000002
1849702072,1849702071,0.0,3.8076000000000003,,,63.46,0.0,0.03943220366
1849702072,1849702080,0.0,5.75784,,,95.964,0.0,0.059629246644
3577738501,3577738509,0.0,2.0875199999999996,,,34.792,0.0,0.021618739832
3577738509,3577738533,0.0,2.4581399999999998,,,40.969,0.0,0.025456948499
3577738509,1849702072,0.0,1755.39372,,,29256.562,0.0,18.179179186502
3577738533,3577738536,0.0,0.6292800000000001,,,10.488,0.0,0.006516939048
3577738536,3577738501,0.0,1.9092600000000002,,,31.821,0.0,0.019772646591
3577738536,7255005662,0.0,720.5463599999999,,,12009.106,0.0,7.462110204326
7255005662,7255005653,0.0,13.80726,,,230.121,0.0,0.142990515891
7255005662,7255005664,0.0,1.22376,,,20.396,0.0,0.012673482916000001
6344820617,1849702071,0.0,1.7562,,,29.27,0.0,0.01818752917
6344820617,3577738533,0.0,1759.37406,,,29322.901,0.0,18.220400317271
6344820618,6344820621,0.0,2.80068,,,46.678,0.0,0.029004355537999998
6344820618,135233327,0.0,5.48538,,,91.423,0.0,0.056807600933
6344820622,6344820617,0.0,1.05994284,,,41.22,0.0,0.02561291262
7255005540,7255005569,0.0,126.77292,,,2112.882,0.0,1.312883601222
7255005540,7255005552,0.0,2.2827,,,38.045,0.0,0.023640059695
7255005569,7255005585,0.0,12.1296,,,202.16,0.0,0.12561636136
7255005569,7255005572,0.0,1.6290600000000002,,,27.151,0.0,0.016870844021
7255005552,7255005545,0.0,0.9993,,,16.655,0.0,0.010348934005000001
7255005545,8074831382,0.0,719.50056,,,11991.676,0.0,7.451279707796
7255005545,7255005557,0.0,2.42724,,,40.454,0.0,0.025136942434
8074831382,8074831375,0.0,0.9547199999999999,,,15.912,0.0,0.009887255352000001
7255005557,7255005540,0.0,0.6726,,,11.21,0.0,0.006965568910000001
7255005585,7255005594,0.0,5.54976,,,92.496,0.0,0.057474332015999996
7255005572,7255005581,0.0,6.8457,,,114.095,0.0,0.070895324245
7255005581,7255005552,0.0,122.21694,,,2036.949,0.0,1.265701037079
7255005582,7255005585,0.0,1.974,,,32.9,0.0,0.020443105899999998
7255005582,7255005572,0.0,12.5607,,,209.345,0.0,0.130080911995
7255005594,7255005610,0.0,124.11095999999999,,,2068.516,0.0,1.285315855436
